Date,Exercise,WT,RP,RP,RP,RP,RP,RP,RP,RP,VOL,VOL2,,2/25/25,73,-6
Chest,,,,,,,,,,,,,,,,
4/19/25,Incline Bench ,60,12,10,10,10,9,,,,3060,*,,,,
4/19/25,LF Pec ,180,12,11,10,9,9,,,,9180,,,,,
4/22/25,Flat Bench,70,12,11,9,9,9,,,,3500,,,,,
4/22/25,LF Pec ,190,11,10,9,9,9,,,,9120,,,,,
4/24/25,Flat Bench ,70,12,11,10,9,9,,,,3570,,,,,
4/29/25,Flat Bench,70,13,12,11,10,9,,,,3850,,,,,
4/29/25,LF Pec ,190,12,11,10,9,8,,,,9500,**,,,,
5/1/25,Flat Bench ,80,10,10,9,8,8,,,,3600,,,,,
5/1/25,LF Pec ,195,11,9,8,8,8,,,,8580,,,,,
5/5/25,HS Press,75,11,10,8,7,6,,,,3150,**,,,,
5/5/25,LF Pec ,195,12,11,10,9,8,,,,9750,**,,,,
5/7/25,Flat Bench ,80,12,11,10,9,8,,,,4000,**,,,,
5/7/25,LF Pec ,200,10,9,8,7,7,,,,8200,*,,,,
,,,,,,,,,,,0,,,,,
,,,,,,,,,,,0,,,,,
,,,,,,,,,,,0,,,,,
Back,,,,,,,,,,,,,,,,
4/22/25,HS Low Row ,80,8,8,9,8,8,,,,3280,*,,,,
4/24/25,HS MTS Row ,75,12,11,10,9,9,,,,3825,**,,,,
4/29/25,LF Rear Row ,120,11,10,9,9,9,,,,5760,,,,,
5/1/25,LF Rear Row ,120,12,11,10,9,9,,,,6120,**,,,,
5/1/25,HS MTS Row 1m,80,6,6,6,6,6,,,,2400,,,,,
5/5/25,HS Low Row,80,12,11,10,9,9,,,,4080,**,,,,
5/7/25,HS MTS Row ,80,7,7,7,7,7,,,,2800,*,,,,
5/7/25,LF Rear Row ,125,12,11,10,9,8,,,,6250,,,,,
,,,,,,,,,,,0,,,,,
,,,,,,,,,,,0,,,,,
Shoulders, ,,,,,,,,,,,,,,,
4/5/25,HS Press 1m,65,13,10,9,8,7,7,,,3510,,,,,
4/5/25,HS Seat FW,35,6,6,6,7,8,,,,1155,,,,,
4/8/25,DB Press,70,11,10,9,8,8,,,,3220,,,,,
4/13/25,DB Press,70,12,11,10,9,9,,,,3570,,,,,
4/13/25,HS Seat FW,40,8,8,10,10,10,,,,1840,**,,,,
4/15/25,HS Press,75,13,12,10,10,9,,,,4050,**,,,,
4/17/25,DB Press ,70,10,9,9,9,7,,,,3080,,,,,
4/20/25,HS Press 1m,70,7,10,8,8,8,1,,,2940,,,,,
4/23/25,HS Press ,70,14,11,10,10,10,,,,3850,**,,,,
4/27/25,HS Press,75,12,11,10,9,8,,,,3750,*,,,,
4/30/29,HS Press 1m ,80,8,8,8,7,7,,,,3040,,,,,
5/6/25,HS Press,80,11,10,9,8,7,,,,3600,,,,,
5/6/25,DB Raises,10,12,12,12,12,12,,,,600,,,,,
5/9/28,DB Press,70,12,11,11,10,10,,,,3780,**,,,,
,,,,,,,,,,,0,,,,,
,,,,,,,,,,,0,,,,,
Legs,,,,,,,,,,,,,,,,
4/8/25,LF SLP,170,12,12,10,11,,,,,7650,,,,,
4/13/25,LF SLP,180,10,10,10,10,,,,,7200,,,,,
4/15/25,LF SLP,180,11,11,11,11,,,,,7920,,,,,
4/20/25,LF SLP,180,12,12,12,12,,,,,8640,,,,,
,Squats bro,,,,,,,,,,,,,,,
4/27/25,LF SLP,185,10,10,10,10,,,,,7400,,,,,
4/30/28,LF SLP ,185,10,10,10,10,,,,,7400,,,,,
5/6/25,LF SLP,185,11,11,11,11,,,,,8140,,,,,
5/9/25,LF SLP,185,12,12,12,12,,,,,8880,**,,,,
,,,,,,,,,,,0,,,,,
,,,,,,,,,,,0,,,,,
,,,,,,,,,,,0,,,,,
Biceps,,,,,,,,,,,,,,,,
4/2/25,LF bicep crl 1m,70,9,8,7,6,5,,,,2450,,,,,
4/4/25,LF Bicep crl 1m,70,10,9,8,7,6,,,,2800,,,,,
4/6/25,LF Bicep crl 1m,70,11,11,9,8,7,,,,3220,,,,,
4/14/25,LF Bicep crl,70,12,11,10,9,8,,,,3500,,,,,
4/29/25,LF Bicep Curl ,70,12,11,10,9,,,,,2940,,,,,
5/1/29,LF Bicep Curl ,70,13,12,11,10,9,,,,3850,**,,,,
,,,,,,,,,,,0,,,,,
Triceps,,,,,,,,,,,,,,,,
3/28/25,LF Tricep Press,150,10,8,9,10,,,,,5550,,,,,
4/6/25,LF Tricep Press,150,11,10,9,9,,,,,5850,,,,,
4/14/25,LF Tricep Press,150,12,11,9,9,,,,,6150,,,,,
4/22/25,LF Tricep Press,160,12,10,9,8,,,,,6240,**,,,,
,,,,,,,,,,,0,,,,,
,,,,,,,,,,,0,,,,,
,,,,,,,,,,,0,,,,,
Abs,,,,,,,,,,,,,,,,
